Vault Name,Block Number,Vault Asset,price per share,Total Supply of Shares
Curve 3EUR Pool yVault,14980132,0xb9446c4Ef5EBE66268dA6700D26f96273DE3d571,0x5AB64C599FcC59f0f2726A300b03166A395578Da,1054766698124244188,626377436292337507980833,593854012841192866372286
Curve mUSD Pool yVault,14980132,0x1AEf73d49Dedc4b1778d0706583995958Dc862e6,0x8cc94ccd0f3841a468184aCA3Cc478D2148E1757,1082719137696735878,599624440368963836674424,553813467862535917943564
Curve GUSD Pool yVault,14980132,0xD2967f45c4f384DEEa880F807Be904762a3DeA07,0x2a38B9B0201Ca39B17B460eD2f11e4929559071E,1076360933227094999,552165837291332452849799,512993197956241935306690
Curve CRV-ETH Pool yVault,14980132,0xEd4064f376cB8d68F770FB1Ff088a3d0F3FF5c4d,0x6A5468752f8DB94134B6508dAbAC54D3b45efCE6,1067324731599814052,9828169665700555745549,9208228175289354451792
Curve sAave Pool yVault,14980132,0x02d341CcB60fAaf662bC0554d13778015d1b285C,0xb4D1Be44BfF40ad6e506edf43156577a3f8672eC,1062183756025662299,431353674451119618658005,406100801301181015412573
UNI yVault,14980132,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,0xFBEB78a723b8087fD2ea7Ef1afEc93d35E8Bed42,1006820720124883040,81584085218182884066104,81031392766791129806370
SUSHI yVault,14980132,0x6B3595068778DD592e39A122f4f5a5cF09C90fE2,0x6d765CbE5bC922694afE112C140b8878b9FB0390,1088908590153004988,298344208739228948294331,273984622251265309791173
Curve CVX-ETH Pool yVault,14980132,0x3A283D9c08E8b55966afb64C515f5143cf907611,0x1635b506a88fBF428465Ad65d00e8d6B6E5846C3,1055122747965066898,1810286276549375274221,1715711541657815153185
Curve YFI-ETH Pool yVault,14980132,0x29059568bB40344487d62f7450E78b8E6C74e0e5,0x790a60024bC3aea28385b60480f15a0771f26D09,1018291464663362343,44526864135934348096,43727032663142780943
Curve EURT-USD Pool yVault,14980132,0x3b6831c0077a1e44ED0a21841C3bC4dC11bCE833,0xBCBB5b54Fa51e7b7Dc920340043B203447842A6b,1016799230662305706,55865403973386330077278,54942413692620180230235
Curve ankrETH Pool yVault,14980132,0xaA17A236F2bAdc98DDc0Cf999AbB47D47Fc0A6Cf,0x132d8D2C76Db3812403431fAcB00F3453Fc42125,1038518801690273855,92311010589683534116,88887182821764856749
Curve cvxCRV Pool yVault,14980132,0x9D0464996170c6B9e75eED71c68B99dDEDf279e8,0x4560b99C904aAD03027B5178CCa81584744AC01f,1159058164219435504,155615675141475963826935,134260453828281264247290
Curve d3pool Pool yVault,14980132,0xBaaa1F5DbA42C3389bDbc2c9D2dE134F5cD0Dc89,0x16825039dfe2a5b01F3E1E6a2BBF9a576c6F95c4,1020109981283169035,90505490028095014318545,88721306220580825415049
Curve tBTC Pool yVault,14980132,0x64eda51d3Ad40D56b9dFc5554E06F94e1Dd786Fd,0x23D3D0f1c697247d5e0a9efB37d8b0ED0C464f7f,1060035904606302572,4227487281389215615,3988060463819199368
Curve EURS-USDC Pool yVault,14980132,0x3D229E1B4faab62F621eF2F6A610961f7BD7b23B,0x801Ab06154Bf539dea4385a39f5fa8534fB53073,1023476820364618579,17842574750275943018781,17433296382735311245308
TUSD yVault,14980132,0x0000000000085d4780B73119b644AE5ecd22b376,0xFD0877d9095789cAF24c98F7CCe092fa8E120775,1055297594827238398,14425823062373758745702,13669909922172611673482
